,address1,address2,address3,address,long,lat
145,2347 UNDERWOOD ST,HOUSTON,77030,"2347 UNDERWOOD ST, HOUSTON, TX 77030",-95.414532,29.699469
146,2036 SOUTHGATE BLVD,HOUSTON,77030,"2036 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4060222,29.7096514
147,2069 SOUTHGATE BLVD,HOUSTON,77030,"2069 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4072291,29.7091285
148,2318 UNDERWOOD ST,HOUSTON,77030,"2318 UNDERWOOD ST, HOUSTON, TX 77030",-95.410952,29.7006301
149,2239 UNIVERSITY BLVD,HOUSTON,77030,"2239 UNIVERSITY BLVD, HOUSTON, TX 77030",-95.41140209999999,29.714688
150,2323 UNDERWOOD ST,HOUSTON,77030,"2323 UNDERWOOD ST, HOUSTON, TX 77030",-95.4113612,29.6998465
151,2425 SOUTHGATE BLVD,HOUSTON,77030,"2425 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.41606639999999,29.7092193
152,2350 BLUE BONNET BLVD,HOUSTON,77030,"2350 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.41414329999999,29.7009963
153,2230 SOUTHGATE BLVD,HOUSTON,77030,"2230 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4113407,29.7096151
154,2444 MCCLENDON ST,HOUSTON,77030,"2444 MCCLENDON ST, HOUSTON, TX 77030",-95.4166801,29.7081566
155,2045 UNIVERSITY BLVD,HOUSTON,77030,"2045 UNIVERSITY BLVD, HOUSTON, TX 77030",-95.4060427,29.7129214
156,2034 ADDISON RD,HOUSTON,77030,"2034 ADDISON RD, HOUSTON, TX 77030",-95.4063699,29.7110132
157,2501 SWIFT BLVD,HOUSTON,77030,"2501 SWIFT BLVD, HOUSTON, TX 77030",-95.41659829999999,29.7123105
158,2054 GOLDSMITH ST,HOUSTON,77030,"2054 GOLDSMITH ST, HOUSTON, TX 77030",-95.4073313,29.7105004
159,2429 MCCLENDON ST,HOUSTON,77030,"2429 MCCLENDON ST, HOUSTON, TX 77030",-95.4161482,29.7077271
160,2010 GOLDSMITH ST,HOUSTON,77030,"2010 GOLDSMITH ST, HOUSTON, TX 77030",-95.40591990000001,29.7104451
161,1925 ADDISON RD,HOUSTON,77030,"1925 ADDISON RD, HOUSTON, TX 77030",-95.404979,29.709942
162,2103 MCCLENDON ST,HOUSTON,77030,"2103 MCCLENDON ST, HOUSTON, TX 77030",-95.4075768,29.7083248
163,2223 UNIVERSITY BLVD,HOUSTON,77030,"2223 UNIVERSITY BLVD, HOUSTON, TX 77030",-95.4107679,29.7145108
164,5 BRAESWOOD CT,HOUSTON,77030,"5 BRAESWOOD CT, HOUSTON, TX 77030",-95.4124045,29.6986534
165,2434 SOUTHGATE BLVD,HOUSTON,77030,"2434 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.41641419999999,29.7096788
166,2062 SOUTHGATE BLVD,HOUSTON,77030,"2062 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4070859,29.7096983
167,2330 DRYDEN RD,HOUSTON,77030,"2330 DRYDEN RD, HOUSTON, TX 77030",-95.414041,29.7136555
168,2429 BLUE BONNET BLVD,HOUSTON,77030,"2429 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.4161687,29.7004851
169,2139 MCCLENDON ST,HOUSTON,77030,"2139 MCCLENDON ST, HOUSTON, TX 77030",-95.4093564,29.70831999999999
170,2509 SOUTHGATE BLVD,HOUSTON,77030,"2509 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4169666,29.7091826
171,2428 UNDERWOOD ST,HOUSTON,77030,"2428 UNDERWOOD ST, HOUSTON, TX 77030",-95.4161687,29.7000339
172,2415 GOLDSMITH ST,HOUSTON,77030,"2415 GOLDSMITH ST, HOUSTON, TX 77030",-95.415514,29.7099862
173,2426 WATTS ST,HOUSTON,77030,"2426 WATTS ST, HOUSTON, TX 77030",-95.4161891,29.7111993
174,2202 MCCLENDON ST,HOUSTON,77030,"2202 MCCLENDON ST, HOUSTON, TX 77030",-95.41029739999999,29.7087328
175,2215 SHAKESPEARE ST,HOUSTON,77030,"2215 SHAKESPEARE ST, HOUSTON, TX 77030",-95.4106247,29.7137272
176,2533 GOLDSMITH ST,HOUSTON,77030,"2533 GOLDSMITH ST, HOUSTON, TX 77030",-95.417969,29.7099763
177,2341 UNDERWOOD ST,HOUSTON,77030,"2341 UNDERWOOD ST, HOUSTON, TX 77030",-95.4135501,29.699509
178,2004 SOUTHGATE BLVD,HOUSTON,77030,"2004 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.40458699999999,29.70964099999999
179,2434 WATTS ST,HOUSTON,77030,"2434 WATTS ST, HOUSTON, TX 77030",-95.416496,29.7112094
180,2518 SOUTHGATE BLVD,HOUSTON,77030,"2518 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4173757,29.7096621
181,2336 UNDERWOOD ST,HOUSTON,77030,"2336 UNDERWOOD ST, HOUSTON, TX 77030",-95.4129773,29.7001641
182,2519 ADDISON RD,HOUSTON,77030,"2519 ADDISON RD, HOUSTON, TX 77030",-95.4173962,29.7115335
183,2106 GOLDSMITH ST,HOUSTON,77030,"2106 GOLDSMITH ST, HOUSTON, TX 77030",-95.40890639999999,29.7103234
184,2112 DRYDEN RD,HOUSTON,77030,"2112 DRYDEN RD, HOUSTON, TX 77030",-95.4073109,29.71296
185,2401 ADDISON RD,HOUSTON,77030,"2401 ADDISON RD, HOUSTON, TX 77030",-95.41502299999999,29.7115402
186,2002 SWIFT BLVD,HOUSTON,77030,"2002 SWIFT BLVD, HOUSTON, TX 77030",-95.404979,29.7113406
187,2211 MACARTHUR ST,HOUSTON,77030,"2211 MACARTHUR ST, HOUSTON, TX 77030",-95.41011329999999,29.7074996
188,2231 GOLDSMITH ST,HOUSTON,77030,"2231 GOLDSMITH ST, HOUSTON, TX 77030",-95.41140209999999,29.709951
189,2510 BELLEFONTAINE ST,HOUSTON,77030,"2510 BELLEFONTAINE ST, HOUSTON, TX 77030",-95.41706889999999,29.703787
190,2330 MARONEAL ST,HOUSTON,77030,"2330 MARONEAL ST, HOUSTON, TX 77030",-95.41281359999999,29.7030583
191,2518 GOLDSMITH ST,HOUSTON,77030,"2518 GOLDSMITH ST, HOUSTON, TX 77030",-95.4173144,29.7104541
192,2505 BLUE BONNET BLVD,HOUSTON,77030,"2505 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.416496,29.7003815
193,2422 BLUE BONNET BLVD,HOUSTON,77030,"2422 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.41590269999999,29.7009696
194,2345 GLEN HAVEN BLVD,HOUSTON,77030,"2345 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4138978,29.70136729999999
195,2332 WORDSWORTH ST,HOUSTON,77030,"2332 WORDSWORTH ST, HOUSTON, TX 77030",-95.4143684,29.7089502
196,2308 GLEN HAVEN BLVD,HOUSTON,77030,"2308 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4114839,29.7025034
197,2330 GLEN HAVEN BLVD,HOUSTON,77030,"2330 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4127931,29.702044
198,2306 UNDERWOOD ST,HOUSTON,77030,"2306 UNDERWOOD ST, HOUSTON, TX 77030",-95.4103588,29.7008122
199,2419 ADDISON RD,HOUSTON,77030,"2419 ADDISON RD, HOUSTON, TX 77030",-95.41584130000001,29.7115068
200,2116 SOUTHGATE BLVD,HOUSTON,77030,"2116 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.4082109,29.7096299
201,2402 ADDISON RD,HOUSTON,77030,"2402 ADDISON RD, HOUSTON, TX 77030",-95.41516620000002,29.7120531
202,2442 GLEN HAVEN BLVD,HOUSTON,77030,"2442 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4163119,29.7019907
203,2025 GOLDSMITH ST,HOUSTON,77030,"2025 GOLDSMITH ST, HOUSTON, TX 77030",-95.40618579999999,29.7100056
204,2411 SWIFT BLVD,HOUSTON,77030,"2411 SWIFT BLVD, HOUSTON, TX 77030",-95.41553449999999,29.7123088
